File name,HEX color,Percent,Percent without background
Baymax,#000000,44.91%,
Baymax,#f4f4f7,28.71%,52.11%
Baymax,#dedada,16.98%,30.82%
Baymax,#bcb4b2,8.38%,15.21%
Baymax,#e20502,1.02%,1.85%

Rafiki,#fcfcfc,75.71%,
Rafiki,#2b3238,9.07%,37.34%
Rafiki,#c0c8cc,6.23%,25.65%
Rafiki,#7c6d66,5.25%,21.61%
Rafiki,#cc9e81,3.74%,15.40%

Scooby-Doo,#fdfdfd,46.24%,
Scooby-Doo,#ab7908,31.89%,59.32%
Scooby-Doo,#624d22,11.49%,21.37%
Scooby-Doo,#1b120c,6.85%,12.74%
Scooby-Doo,#909f9d,3.53%,6.57%

Link,#e6e6e5,67.26%,
Link,#5f6458,9.49%,28.99%
Link,#868e83,8.36%,25.53%
Link,#34382c,7.74%,23.64%
Link,#b9b4aa,7.15%,21.84%

Mr. Incredible,#f9f7f8,66.57%,
Mr. Incredible,#361a1b,14.62%,43.73%
Mr. Incredible,#a53531,10.35%,30.96%
Mr. Incredible,#605355,4.62%,13.82%
Mr. Incredible,#c0a194,3.84%,11.49%

Professor Oak,#fcfcfb,69.41%,
Professor Oak,#dca860,11.26%,36.81%
Professor Oak,#8c3831,6.83%,22.33%
Professor Oak,#a0896d,6.44%,21.05%
Professor Oak,#c4c1bc,6.06%,19.81%

Prince Eric,#fcfcfc,78.99%,
Prince Eric,#315466,7.93%,37.74%
Prince Eric,#d3c4b9,4.68%,22.28%
Prince Eric,#b58b74,4.65%,22.13%
Prince Eric,#262228,3.75%,17.85%

Homer Simpson,#fcfcfc,82.20%,
Homer Simpson,#6ac4f1,6.22%,34.94%
Homer Simpson,#68715f,4.32%,24.27%
Homer Simpson,#aca99a,3.78%,21.24%
Homer Simpson,#eacb15,3.48%,19.55%

Professor Utonium,#f7f7f7,80.54%,
Professor Utonium,#0a0a09,7.69%,39.52%
Professor Utonium,#605b52,4.24%,21.79%
Professor Utonium,#f8d086,3.84%,19.73%
Professor Utonium,#aba69b,3.69%,18.96%

Captain Underpants,#f9fbfb,54.75%,
Captain Underpants,#eccbc1,22.83%,50.45%
Captain Underpants,#772226,9.40%,20.77%
Captain Underpants,#b5a8a4,6.79%,15.01%
Captain Underpants,#8e6b6a,6.23%,13.77%

Kuzco,#fcfcfb,77.43%,
Kuzco,#9b080b,8.53%,37.79%
Kuzco,#cfa889,7.01%,31.06%
Kuzco,#c39248,5.77%,25.56%
Kuzco,#1d1715,1.26%,5.58%

Mario,#faf9f9,51.69%,
Mario,#2b6dce,18.85%,39.02%
Mario,#bb9487,11.46%,23.72%
Mario,#6e3b38,10.96%,22.69%
Mario,#d23239,7.04%,14.57%

King Candy,#fcfcfc,57.37%,
King Candy,#eccfb8,15.23%,35.73%
King Candy,#7c383f,10.35%,24.28%
King Candy,#b29484,9.72%,22.80%
King Candy,#171010,7.33%,17.19%

Phineas,#fcfcfc,79.54%,
Phineas,#f5d3b8,10.82%,52.88%
Phineas,#c4a58c,4.08%,19.94%
Phineas,#da7443,2.87%,14.03%
Phineas,#405472,2.69%,13.15%

Doc McStuffins,#fbfbfb,72.97%,
Doc McStuffins,#7d5149,8.71%,32.22%
Doc McStuffins,#966995,6.30%,23.31%
Doc McStuffins,#46281c,6.19%,22.90%
Doc McStuffins,#c3b0c1,5.83%,21.57%

Princess Peach,#fefefd,54.46%,
Princess Peach,#ee9db2,21.07%,46.27%
Princess Peach,#e05682,12.27%,26.94%
Princess Peach,#946663,6.63%,14.56%
Princess Peach,#e3bf0c,5.57%,12.23%

Patrick Star,#f3f3f3,68.41%,
Patrick Star,#f5999f,18.27%,57.83%
Patrick Star,#b5747e,7.00%,22.16%
Patrick Star,#bdd418,4.35%,13.77%
Patrick Star,#3f221c,1.97%,6.24%

Sonic the Hedgehog,#fafaf9,50.93%,
Sonic the Hedgehog,#0b328a,20.68%,42.14%
Sonic the Hedgehog,#cfbfa3,12.13%,24.72%
Sonic the Hedgehog,#6d6e73,11.62%,23.68%
Sonic the Hedgehog,#c30b09,4.64%,9.46%

Genie,#fdfdfd,69.88%,
Genie,#95c0e0,10.36%,34.40%
Genie,#609bcc,9.40%,31.21%
Genie,#307db9,8.70%,28.88%
Genie,#c77057,1.66%,5.51%

The Great Kazoo,#fefefd,63.05%,
The Great Kazoo,#04a605,22.49%,60.87%
The Great Kazoo,#7eb23b,7.00%,18.94%
The Great Kazoo,#25641c,5.29%,14.32%
The Great Kazoo,#aab1a7,2.17%,5.87%

Rayman,#fcfbfb,72.15%,
Rayman,#4e1c34,7.94%,28.51%
Rayman,#d8c4be,7.73%,27.76%
Rayman,#7d6996,6.53%,23.45%
Rayman,#dd8e36,5.65%,20.29%

Diego,#fcfcfb,67.93%,
Diego,#b2854a,9.54%,29.75%
Diego,#26567f,8.80%,27.44%
Diego,#a9bab8,7.14%,22.26%
Diego,#4e3225,6.59%,20.55%

King Julien,#fcfcfb,63.33%,
King Julien,#726e59,11.50%,31.36%
King Julien,#a49d8d,10.52%,28.69%
King Julien,#d0c8b9,9.67%,26.37%
King Julien,#323427,4.98%,13.58%

Saitama,#fafafb,51.03%,
Saitama,#b5b4b4,16.10%,32.88%
Saitama,#8f7753,13.34%,27.24%
Saitama,#ead192,9.94%,20.30%
Saitama,#792e19,9.59%,19.58%

Gargamel,#fcfbfb,59.11%,
Gargamel,#181410,21.13%,51.68%
Gargamel,#dfada3,8.29%,20.27%
Gargamel,#9d6360,6.99%,17.09%
